Breite(x): 128 Höhe(y):054;128;54;
009,050,061,079,189,
009,051,144,017,148,
009,052,117,006,117,
009,053,082,009,088,
010,000,036,010,050,
010,001,036,010,050,
010,002,036,010,050,
010,003,035,010,052,
010,004,035,012,052,
010,005,033,011,051,
010,006,029,013,049,
010,007,029,012,048,
010,008,029,013,050,
010,009,030,013,049,
010,010,028,011,047,
010,011,029,012,049,
010,012,029,012,048,
010,013,030,013,049,
010,014,029,012,049,
010,015,030,013,050,
010,016,029,012,050,
010,017,029,012,048,
010,018,029,011,049,
010,019,028,011,049,
010,020,028,012,048,
010,021,028,012,048,
010,022,028,012,048,
010,023,028,012,048,
010,024,028,011,048,
010,025,028,011,048,
010,026,028,011,046,
010,027,028,011,047,
010,028,028,013,049,
010,029,028,012,049,
010,030,027,010,046,
010,031,026,010,041,
010,032,027,019,060,
010,033,027,049,120,
010,034,015,054,117,
010,035,003,020,040,
010,036,004,017,035,
010,037,007,041,084,
010,038,006,063,116,
010,039,004,056,087,
010,040,003,054,083,
010,041,003,055,085,
010,042,001,051,073,
010,043,005,061,108,
010,044,006,024,051,
010,045,004,013,026,
010,046,005,013,025,
010,047,006,027,053,
010,048,004,012,022,
010,049,000,022,035,
010,050,085,079,208,
010,051,142,017,143,
010,052,083,007,087,
010,053,092,009,099,
011,000,037,010,053,
011,001,037,010,052,
011,002,038,010,054,
011,003,037,010,052,
011,004,036,011,052,
011,005,035,012,051,
011,006,033,011,049,
011,007,030,012,048,
011,008,030,012,048,
011,009,031,012,049,
011,010,029,012,049,
011,011,031,013,051,
011,012,029,013,048,
011,013,029,012,048,
011,014,029,012,049,
011,015,029,012,050,
011,016,029,011,050,
011,017,029,012,048,
011,018,029,012,049,
011,019,030,012,050,
011,020,032,015,052,
011,021,029,011,050,
011,022,030,012,050,
011,023,029,012,048,
011,024,031,014,050,
011,025,029,012,048,
011,026,028,011,047,
011,027,029,012,048,
011,028,029,012,048,
011,029,027,009,042,
011,030,028,015,053,
011,031,029,039,099,
011,032,022,048,109,
011,033,010,040,085,
011,034,002,019,038,
011,035,000,002,005,
011,036,002,011,022,
011,037,004,023,045,
011,038,002,010,018,
011,039,004,051,087,
011,040,002,054,076,
011,041,002,045,062,
011,042,001,047,067,
011,043,005,048,087,
011,044,005,022,046,
011,045,006,039,079,
011,046,006,030,060,
011,047,002,008,016,
011,048,006,021,043,
011,049,000,032,057,
011,050,075,078,199,
011,051,119,018,126,
011,052,082,007,086,
011,053,098,009,104,
012,000,042,009,054,
012,001,043,010,055,
012,002,043,010,057,
012,003,040,010,056,
012,004,039,011,055,
012,005,038,011,055,
012,006,034,011,052,
012,007,034,012,051,
012,008,032,011,050,
012,009,031,012,051,
012,010,030,012,050,
012,011,030,013,051,
012,012,029,012,049,
012,013,030,013,050,
012,014,030,012,051,
012,015,030,012,050,
012,016,033,015,053,
012,017,030,012,050,
012,018,031,013,052,
012,019,032,014,055,
012,020,036,018,059,
012,021,030,012,052,
012,022,030,013,054,
012,023,030,012,051,
012,024,030,012,050,
012,025,029,012,048,
012,026,029,012,048,
012,027,029,010,044,
012,028,029,011,045,
012,029,030,031,083,
012,030,026,052,122,
012,031,013,038,082,
012,032,001,005,010,
012,033,001,003,007,
012,034,005,024,049,
012,035,000,000,000,
012,036,005,026,051,
012,037,002,015,025,
012,038,000,004,004,
012,039,002,007,015,
012,040,004,045,080,
012,041,002,055,084,
012,042,002,053,077,
012,043,006,041,080,
012,044,008,041,085,
012,045,005,032,063,
012,046,006,031,061,
012,047,004,019,038,
012,048,002,000,000,
012,049,000,043,084,
012,050,071,083,206,
012,051,108,017,117,
012,052,101,008,100,
012,053,149,007,148,
013,000,047,009,057,
013,001,046,009,056,
013,002,046,010,058,
013,003,047,011,059,
013,004,044,011,058,
013,005,041,013,059,
013,006,040,013,058,
013,007,037,013,057,
013,008,033,012,053,
013,009,032,012,049,
013,010,031,013,049,
013,011,031,014,052,
013,012,032,014,054,
013,013,031,013,050,
013,014,031,014,050,
013,015,031,013,052,
013,016,033,015,055,
013,017,033,015,053,
013,018,031,013,054,
013,019,031,013,053,
013,020,030,013,049,
013,021,031,013,051,
013,022,031,013,052,
013,023,031,013,051,
013,024,031,013,051,
013,025,029,012,050,
013,026,029,011,049,
013,027,032,024,071,
013,028,030,048,114,
013,029,017,044,098,
013,030,004,012,024,
013,031,000,000,000,
013,032,001,001,002,
013,033,001,000,000,
013,034,003,018,037,
013,035,004,018,036,
013,036,003,021,039,
013,037,000,003,001,
013,038,000,007,008,
013,039,001,004,005,
013,040,001,001,005,
013,041,004,037,067,
013,042,006,053,089,
013,043,008,046,094,
013,044,003,015,029,
013,045,003,018,036,
013,046,007,038,077,
013,047,006,030,060,
013,048,005,013,027,
013,049,000,038,074,
013,050,066,084,202,
013,051,130,018,136,
013,052,130,006,128,
013,053,111,010,114,
014,000,048,010,059,
014,001,048,011,059,
014,002,050,012,061,
014,003,051,011,062,
014,004,049,012,061,
014,005,046,012,060,
014,006,043,013,061,
014,007,040,013,059,
014,008,036,012,055,
014,009,034,011,052,
014,010,032,012,050,
014,011,032,014,052,
014,012,032,013,052,
014,013,032,013,050,
014,014,031,013,050,
014,015,031,013,052,
014,016,032,014,052,
014,017,032,014,051,
014,018,031,013,054,
014,019,031,013,053,
014,020,032,013,051,
014,021,031,013,055,
014,022,031,014,051,
014,023,031,014,050,
014,024,032,014,051,
014,025,031,014,054,
014,026,032,035,092,
014,027,023,052,116,
014,028,008,027,056,
014,029,001,003,005,
014,030,001,006,011,
014,031,003,012,023,
014,032,003,013,026,
014,033,002,012,023,
014,034,004,019,038,
014,035,008,056,113,
014,036,003,026,047,
014,037,002,025,044,
014,038,003,027,052,
014,039,004,026,051,
014,040,005,030,058,
014,041,006,025,052,
014,042,006,031,062,
